馬達牙攻轉速,馬達凸輪轉速,馬達牙攻扭矩,馬達凸輪扭矩,KTR牙攻轉速,KTR凸輪轉速,KTR牙攻扭矩,KTR凸輪扭矩,
303.465346534653,211.247524752475,0.25648396039604,0.608812673267327,297.938118811881,1.93675325948436,0.618935643564357,-0.210974996627199,
306.479854916185,213.33908440349,0.261575484756396,0.613139135378885,300.855822958533,1.95593904111517,0.625249362807568,-0.386331184712617,
309.524209915355,214.787986229267,0.263881776684678,0.612616948600458,303.812316255153,1.97527934432523,0.632801336696752,-0.59096070139294,
309.608608033329,214.944302924606,0.263233477443932,0.612018700566799,306.800557010154,1.99482460804967,0.640428082604641,-0.787405856852276,
309.604732865342,214.943751468414,0.261019155438426,0.614037499582312,308.588186287482,2.01452675481775,0.648006578472013,-1.00559799404883,
309.600819329355,214.94319455226,0.260413404502173,0.613878662944513,308.586584171517,2.03441172768513,0.643717039645003,-1.22935391478199,
309.586966055388,214.942632122084,0.261006804546749,0.614285382379607,308.580015697968,2.05445695324974,0.642169683601885,-1.46491682482934,
309.582876610392,214.942064123293,0.258699545185826,0.614483455472475,308.575857437551,2.07466610625641,0.641720868588042,-1.68424768448111,
309.568845685743,214.941490500751,0.261473600088656,0.612840321368241,308.579083748814,2.09523210730845,0.642072065306735,-1.89956201799083,
309.574477821245,214.940911198779,0.261581259495474,0.612102502767927,308.56501527108,2.11602648460853,0.641498521398881,-2.11051065183232,
309.570264730366,214.940326161143,0.263533153153845,0.610648468141867,308.560708491585,2.11603664782248,0.643085140422633,-2.30034244046432,
309.556108935617,214.939735331055,0.261818035858339,0.61116498762842,308.563784813284,2.11612116908805,0.642769151713946,-2.43976414779565,
309.561614964683,214.939138651164,0.263134254035154,0.611615730080187,308.547089613416,2.11618177472258,0.642388153216064,-2.62078904034808,
309.557274518789,214.938536063552,0.263825484273126,0.611574697704743,308.540130104638,2.11619347546241,0.642003382455827,-2.7961805159951,
309.562792088282,214.937927509726,0.264381776196622,0.611816823424592,308.535576937357,2.11605677719966,0.640995990202914,-2.95845705575742,
309.568364287175,214.937312930614,0.263738427446093,0.612628475141667,308.540879679311,2.11601773538976,0.640349910897993,-3.10779821472532,
309.583892646454,214.936692266561,0.262521580193084,0.612951925390594,308.533858686037,2.11600305950253,0.639573672392032,-3.27501651388101,
309.589673761766,214.936065457319,0.264199219600937,0.613491251384561,308.529243425503,2.11586447593325,0.640151134494924,-3.46400182589964,
309.575710135645,214.935432442045,0.265042776230649,0.611696511299259,308.517156726745,2.11572452024942,0.640610551668141,-3.64867016080954,
309.571509245899,214.934793159293,0.265682011638873,0.610592912401232,308.507425605228,2.115607931341,0.64113639871436,-3.83114461784725,
309.567266763185,214.934147547009,0.26668203155609,0.610754426385403,308.497598135973,2.11551494056219,0.642100620483809,-4.02037624772693,
309.562982275692,214.933495542524,0.266486804145754,0.610492192983278,308.50252485019,2.11532201918162,0.642826864250976,-4.22169185414007,
309.55865536753,214.932837082549,0.264659148741257,0.611645184993013,308.505025096232,2.11517669263887,0.642322674788114,-4.40488929824046,
309.564186608793,214.932172103168,0.265578150213942,0.612029790785023,308.485272869462,2.11490616484321,0.642927354736511,-4.59763572693591,
309.549970634622,214.931500539833,0.26714427051309,0.612205531287845,308.487602303813,2.11463295855453,0.642176635476477,-4.77496380344023,
309.535613908233,214.930822327356,0.26766253061718,0.613233704864953,308.49490529692,2.11438179972834,0.641975414045551,-4.92465403911786,
309.531016026136,214.930137399904,0.269178397256954,0.613350474220051,308.49237960679,2.11410340170585,0.642947942897487,-5.10150704940615,
309.526372620454,214.929445690992,0.266314024952568,0.614886221489557,308.497254652402,2.11384699974254,0.643001882926175,-5.27485117860819,
309.531584230557,214.928747133477,0.267816540051108,0.615019352395394,308.494752223218,2.11361281162118,0.642313782757127,-5.46012198235679,
309.517045460563,214.928041659552,0.268341456289238,0.616146276676536,308.482324027408,2.11332679985505,0.642980255853732,-5.65465289307319,
309.502362742351,214.927329200735,0.266177708331706,0.61586653684165,308.47224802768,2.113112213715,0.644952832644363,-5.84306529795511,
309.507336630889,214.926609687871,0.268246002473604,0.615300462948994,308.467022760627,2.11282124553396,0.644902860690347,-6.05964267714278,
309.502458775749,214.925883051117,0.268775170814926,0.614941457631657,308.466696253306,2.11252739647984,0.646585067231836,-6.27248567394617,
309.497532625014,214.92514921994,0.270585618050718,0.616138501766624,308.47131700829,2.1122553905044,0.645684919382646,-6.47877266081693,
309.48265671041,214.924408123108,0.269649238031418,0.615929576041541,308.471033018273,2.11193118644998,0.645456552247821,-6.67812932082502,
309.49733647982,214.923659688683,0.269128933457472,0.616214819368685,308.455894731325,2.11180179225642,0.644668993359185,-6.89957119528863,
309.482458623185,214.922903844017,0.271368229828338,0.616077540352533,308.440606560348,2.11169586940747,0.644306805174623,-7.10866348435089,
309.487235441236,214.92214051574,0.271928311311787,0.617285832831271,308.449919496589,2.11151464039171,0.644621724037738,-7.33096460795833,
309.482158564417,214.921369629757,0.27235215597824,0.618718761869205,308.466750382694,2.11128211207875,0.644382830216329,-7.56382069318564,
309.47703142149,214.92059111124,0.27207128623545,0.618110036739197,308.468896426087,2.11102252903003,0.644450977050154,-7.79929169014787,
309.481754504871,214.919804884618,0.271291397980356,0.617566175716812,308.46363797486,2.11073562337686,0.644210392664512,-8.06679705341666,
309.486524351454,214.919010873575,0.271000025683131,0.618505642803118,308.450901717185,2.11054488697465,0.644648119324557,-8.31622078661881,
309.481440434142,214.918209001036,0.272832501184945,0.618461936296218,308.445465100524,2.11015424229123,0.643419387832721,-8.60307693302098,
