INPUT端轉速,INPUT端扭矩,OUTPUT端轉速,OUTPUT端扭矩,MOTOR轉速,MOTOR扭矩,
880.835202686139,0.851676110039604,10.095770807901,15.3035078893069,899.138613861386,0.95825900990099,
880.984831858279,0.856941970356828,10.2411245875238,15.3041319424684,899.229095186746,0.957762762474267,
880.923225923212,0.863637791231648,10.2896327826676,15.2982356428889,899.25116543612,0.958871106657181,
880.923858110571,0.872128229600278,10.3466464735554,15.2922205333135,899.253652222616,0.958896464148836,
880.876151878992,0.883361689022063,10.3524958507886,15.2735158209701,899.285866601058,0.956419795477042,
880.832807775814,0.89343732301238,10.3334572886182,15.2519065252371,899.278795973346,0.954446724145132,
880.861551540921,0.900881241428344,10.3237057827926,15.2234358828137,899.291457319617,0.954692335275282,
880.764883733405,0.910586458699912,10.3143895188599,15.2162571655148,899.304244025751,0.952915922753255,
880.643086480271,0.918635272647436,10.2869484497397,15.2319106631932,899.307256342838,0.953385288325069,
880.59260033156,0.924032303505332,10.2809424473609,15.2639750440169,899.330100465044,0.953280885239179,
880.585124530883,0.928358756540038,10.2990493187209,15.2819139212844,899.33336878648,0.952420993013824,
880.476050887624,0.929658158683999,10.317238776728,15.2903010447625,899.316867487337,0.9526465474001,
880.288545821165,0.928927863532355,10.346920983052,15.2675888915423,899.33980676939,0.951277404305051,
880.379583403553,0.924274418804953,10.3670831029337,15.246102205914,899.362973173047,0.94881331919916,
880.35549512042,0.919055195070348,10.3874448477648,15.2228315788438,899.35666597674,0.948399589686281,
880.248982385968,0.917144250991837,10.384077578307,15.1937709115057,899.370098313144,0.946837506415848,
880.358966122463,0.915214386674924,10.3807736589041,15.1644225147879,899.423267603373,0.943650452023926,
880.56672816328,0.906134574750914,10.3746330360913,15.1452380765185,899.417557381624,0.94197847630139,
880.55899620252,0.896650623293002,10.3713322957555,15.1212709489592,899.391988642828,0.9452819265618,
880.464167266901,0.890166830731547,10.370947900169,15.1315725371668,899.405770708599,0.941878282270333,
880.494095593307,0.883437549669483,10.3666437797746,15.1267475475347,899.459293190862,0.939673215758158,
880.548492579379,0.877185519695913,10.3647626229407,15.113897913847,899.4341376779,0.942086217894377,
880.453559646501,0.874860024376071,10.3367083699005,15.1180834168554,899.398832110355,0.943881824012143,
880.435038268744,0.872511504350092,10.2977888673747,15.1223103604876,899.442384903527,0.942212139101372,
880.503353931801,0.873922702729795,10.2583873338339,15.1030111244528,899.476467922374,0.943103645429109,
880.494994502413,0.876012612697417,10.2476508377333,15.0728245467741,899.461383446357,0.943601602314546,
880.365690611347,0.881205188070659,10.2798831480078,15.0572050806036,899.475852589391,0.942381816198848,
880.273782226311,0.88679967399215,10.2710515455129,15.0518250720947,899.530068951662,0.939138071804777,
880.24864640677,0.89387571887326,10.2913326870229,15.0314049459768,899.495713198708,0.940778745783042,
880.083062150401,0.903910418129431,10.3116695979043,15.0269176767291,899.490720260081,0.941266258117528,
880.06570694892,0.914153246368337,10.3177528055271,15.0235945960036,899.515380856716,0.939734141861266,
880.067517785048,0.922346150560102,10.3088610480571,15.0302701341819,899.500681657277,0.937470123463853,
879.962988258167,0.932034254466638,10.2859096413844,15.0332650543223,899.505638901409,0.936239926666465,
879.954113140921,0.935533472025713,10.2626343037248,15.0321803295136,899.510645227165,0.935462797227519,
879.887136537366,0.936770963085374,10.2391285171776,15.0432918960434,899.535503100702,0.931924211061455,
879.824331267439,0.939712770264437,10.2231734931892,15.0500415954102,899.570508081897,0.928350589388796,
879.823752245334,0.9432154957126,10.2641072190327,15.0412065338796,899.556354696569,0.928564159580765,
879.813498554694,0.941434986996883,10.306123054736,15.030652363621,899.542061178713,0.929320537398396,
879.807977809691,0.937630545343387,10.3498118504462,15.0183620637559,899.557329111176,0.927657572422142,
879.802402403846,0.937220908109163,10.404037246213,14.9944077856742,899.572748211286,0.927788835515431,
879.820944135568,0.933350570565689,10.4186734441656,14.9864722346413,899.558617005458,0.929141101213603,
879.975034547801,0.929441912848518,10.4072033946722,14.9889730813209,899.564147866898,0.92839428043354,
879.956609766096,0.922714736549988,10.3797627258769,14.9963935875716,899.530129528946,0.93106026340813,
879.92349915685,0.915945126892067,10.3124560758658,15.0106558191317,899.545279326263,0.930709671956725,
879.972246673254,0.908117425494959,10.291135637904,15.0174449740736,899.58038110177,0.931839371679069,
879.934456417544,0.900913219935503,10.2498794777843,15.0121547479753,899.586127449312,0.931886296151139,
879.818940515737,0.897384398162587,10.2754139436039,15.0036093085494,899.532524750791,0.933442596113031,
879.760294505992,0.895029254510732,10.3013946045505,15.0086366322974,899.587302223571,0.930701334688408,
879.701067842685,0.896022833921729,10.3276324997639,14.9945571528152,899.61291907727,0.927643724140768,
879.641254776771,0.900168654831845,10.354371899514,14.9735700175955,899.549680652292,0.926379107548103,
879.401974192383,0.905237813849982,10.3383009375092,14.9554570622252,899.555123034988,0.924636722474321,
879.228246372643,0.912911053957016,10.3090848063469,14.9457866371056,899.618652828786,0.920908779034453,
879.235026776745,0.909138354596622,10.282394591959,14.9395797065574,899.573004884648,0.922417452465742,
879.126457045592,0.90715953514479,10.2257596532193,14.9378415830294,899.595993394039,0.921767317275728,
878.982964832077,0.905512161783844,10.1679994805229,14.9394695025315,899.619184890786,0.91975247423738,
878.993227212801,0.897633739791387,10.2013193648272,14.9384584854183,899.572980121377,0.922608441353819,
878.887993123068,0.892877079155536,10.2353026836511,14.937893135123,899.585793825813,0.923173408850935,
878.868452940713,0.889522478073627,10.2776958924913,14.9564584994033,899.618411018944,0.921126092747724,
